>> starting elaboration at 19:59:53.994
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 4 workers.
>>  2. SpectralCrestFactor: start -> 20:00:09.512
>>  1. SpectralCentroid: start -> 20:00:09.516
>>  1. SpectralCentroid: already exists, skipped 
>>  6. SpectralRolloff: start -> 20:00:09.536
>>  4. SpectralFlatness: start -> 20:00:09.510
>>  3. SpectralDecrease: start -> 20:00:09.526
   2. SpectralCrestFactor  |  100 YAT 1, MONTH 3, DAY  3, 20200303_013000.WAV | elapsed 44.0440 s, 2.2705 files/s 
   6. SpectralRolloff      |  100 YAT 1, MONTH 3, DAY  3, 20200303_013000.WAV | elapsed 45.8328 s, 2.1818 files/s 
   3. SpectralDecrease     |  100 YAT 1, MONTH 3, DAY  3, 20200303_013000.WAV | elapsed 47.1228 s, 2.1221 files/s 
   4. SpectralFlatness     |  100 YAT 1, MONTH 3, DAY  3, 20200303_013000.WAV | elapsed 50.8969 s, 1.9648 files/s 
   2. SpectralCrestFactor  |  200 YAT 1, MONTH 3, DAY  5, 20200305_033000.WAV | elapsed 90.5559 s, 2.2086 files/s 
   6. SpectralRolloff      |  200 YAT 1, MONTH 3, DAY  5, 20200305_033000.WAV | elapsed 93.3296 s, 2.1429 files/s 
   3. SpectralDecrease     |  200 YAT 1, MONTH 3, DAY  5, 20200305_033000.WAV | elapsed 94.5163 s, 2.1160 files/s 
   4. SpectralFlatness     |  200 YAT 1, MONTH 3, DAY  5, 20200305_033000.WAV | elapsed 101.3263 s, 1.9738 files/s 
   2. SpectralCrestFactor  |  300 YAT 1, MONTH 3, DAY  7, 20200307_053000.WAV | elapsed 128.2052 s, 2.3400 files/s 
   6. SpectralRolloff      |  300 YAT 1, MONTH 3, DAY  7, 20200307_053000.WAV | elapsed 132.6961 s, 2.2608 files/s 
   3. SpectralDecrease     |  300 YAT 1, MONTH 3, DAY  7, 20200307_053000.WAV | elapsed 133.9148 s, 2.2402 files/s 
   4. SpectralFlatness     |  300 YAT 1, MONTH 3, DAY  7, 20200307_053000.WAV | elapsed 144.2370 s, 2.0799 files/s 
   2. SpectralCrestFactor  |  400 YAT 1, MONTH 3, DAY  9, 20200309_073000.WAV | elapsed 166.0622 s, 2.4087 files/s 
   6. SpectralRolloff      |  400 YAT 1, MONTH 3, DAY  9, 20200309_073000.WAV | elapsed 172.3651 s, 2.3207 files/s 
