AlgoType,SmplRate,#Files,Check Type,Index,Yat,Year,Month,Day,Hour,Minute,AudioName,ScoresMeanOn30,AudioUrl,UniqueName
iforest,fs1,186,conc feat all (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,0.72848,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
iforest,fs1,186,conc feat all (normal),16,1,2020,3,3,14,0,20200303_140000.WAV,0.61289,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_140000.WAV,yat1_20200303_140000
iforest,fs1,186,conc feat all (normal),22,1,2020,3,4,14,0,20200304_140000.WAV,0.5809,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200304_140000.WAV,yat1_20200304_140000
iforest,fs1,186,conc feat spectral (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,0.77328,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
iforest,fs1,186,conc feat spectral (normal),22,1,2020,3,4,14,0,20200304_140000.WAV,0.61414,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200304_140000.WAV,yat1_20200304_140000
iforest,fs1,186,conc feat spectral (normal),16,1,2020,3,3,14,0,20200303_140000.WAV,0.61077,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_140000.WAV,yat1_20200303_140000
iforest,fs1,186,conc feat spectral (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,0.71659,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
iforest,fs1,186,conc feat spectral (normal),50,1,2020,3,9,6,0,20200309_060000.WAV,0.65124,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200309_060000.WAV,yat1_20200309_060000
iforest,fs1,186,conc feat spectral (normal),154,1,2020,3,26,14,0,20200326_140000.WAV,0.63196,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200326_140000.WAV,yat1_20200326_140000
iforest,fs1,186,conc feat time (normal),41,1,2020,3,7,18,0,20200307_180000.WAV,0.60989,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200307_180000.WAV,yat1_20200307_180000
iforest,fs1,186,conc feat time (normal),16,1,2020,3,3,14,0,20200303_140000.WAV,0.60496,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_140000.WAV,yat1_20200303_140000
iforest,fs1,186,conc feat time (normal),162,1,2020,3,27,22,0,20200327_220000.WAV,0.60477,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200327_220000.WAV,yat1_20200327_220000
iforest,fs1,186,conc avg feat all (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,0.76491,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
iforest,fs1,186,conc avg feat all (normal),59,1,2020,3,10,18,0,20200310_180000.WAV,0.61441,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200310_180000.WAV,yat1_20200310_180000
iforest,fs1,186,conc avg feat all (normal),50,1,2020,3,9,6,0,20200309_060000.WAV,0.61411,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200309_060000.WAV,yat1_20200309_060000
iforest,fs1,186,conc avg feat spectral (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,0.80598,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
iforest,fs1,186,conc avg feat spectral (normal),96,1,2020,3,16,22,0,20200316_220000.WAV,0.65719,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200316_220000.WAV,yat1_20200316_220000
iforest,fs1,186,conc avg feat spectral (normal),22,1,2020,3,4,14,0,20200304_140000.WAV,0.63561,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200304_140000.WAV,yat1_20200304_140000
iforest,fs1,186,conc avg feat tonaless (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,0.74608,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
iforest,fs1,186,conc avg feat tonaless (normal),50,1,2020,3,9,6,0,20200309_060000.WAV,0.71331,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200309_060000.WAV,yat1_20200309_060000
iforest,fs1,186,conc avg feat tonaless (normal),166,1,2020,3,28,14,0,20200328_140000.WAV,0.65392,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200328_140000.WAV,yat1_20200328_140000
iforest,fs1,186,conc avg feat time (normal),41,1,2020,3,7,18,0,20200307_180000.WAV,0.65843,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200307_180000.WAV,yat1_20200307_180000
iforest,fs1,186,conc avg feat time (normal),162,1,2020,3,27,22,0,20200327_220000.WAV,0.64808,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200327_220000.WAV,yat1_20200327_220000
iforest,fs1,186,conc avg feat time (normal),49,1,2020,3,9,2,0,20200309_020000.WAV,0.6341,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200309_020000.WAV,yat1_20200309_020000
iforest,fs1,186,feature 'SpectralCentroid' (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,0.78183,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
iforest,fs1,186,feature 'SpectralCentroid' (normal),42,1,2020,3,7,22,0,20200307_220000.WAV,0.65009,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200307_220000.WAV,yat1_20200307_220000
iforest,fs1,186,feature 'SpectralCentroid' (normal),96,1,2020,3,16,22,0,20200316_220000.WAV,0.6467,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200316_220000.WAV,yat1_20200316_220000
iforest,fs1,186,feature 'SpectralCrestFactor' (normal),16,1,2020,3,3,14,0,20200303_140000.WAV,0.72117,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_140000.WAV,yat1_20200303_140000
iforest,fs1,186,feature 'SpectralCrestFactor' (normal),142,1,2020,3,24,14,0,20200324_140000.WAV,0.70037,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200324_140000.WAV,yat1_20200324_140000
iforest,fs1,186,feature 'SpectralCrestFactor' (normal),166,1,2020,3,28,14,0,20200328_140000.WAV,0.7,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200328_140000.WAV,yat1_20200328_140000
iforest,fs1,186,feature 'SpectralDecrease' (normal),22,1,2020,3,4,14,0,20200304_140000.WAV,0.72212,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200304_140000.WAV,yat1_20200304_140000
