Check Type,Index,Yat,Year,Month,Day,Hour,Minute,AudioName,ScoresMeanOn30,AudioUrl
conc avg feat all (zscore),4107,2,2020,3,23,18,30,20200323_183000.WAV,0.6801,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT2Audible/20200323_183000.WAV
conc avg feat all (zscore),4105,2,2020,3,23,17,30,20200323_173000.WAV,0.67693,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT2Audible/20200323_173000.WAV
conc avg feat all (zscore),4106,2,2020,3,23,18,0,20200323_180000.WAV,0.67279,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT2Audible/20200323_180000.WAV
conc avg feat all (zscore),448,1,2020,3,10,7,30,20200310_073000.WAV,0.66302,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200310_073000.WAV
conc avg feat all (zscore),3403,2,2020,3,8,23,30,20200308_233000.WAV,0.65513,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT2Audible/20200308_233000.WAV
conc avg feat all (zscore),6433,3,2020,3,9,5,30,20200309_053000.WAV,0.65478,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT3Audible/20200309_053000.WAV
conc avg feat all (zscore),3714,2,2020,3,15,11,0,20200315_110000.WAV,0.65189,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT2Audible/20200315_110000.WAV
conc avg feat all (zscore),5307,2,2020,4,17,18,30,20200417_183000.WAV,0.64826,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT2Audible/20200417_183000.WAV
conc avg feat all (zscore),6455,3,2020,3,9,16,30,20200309_163000.WAV,0.64815,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT3Audible/20200309_163000.WAV
conc avg feat all (zscore),3404,2,2020,3,9,0,0,20200309_000000.WAV,0.64728,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT2Audible/20200309_000000.WAV
