SmplRate,#Files,Check Type,Index,Yat,Year,Month,Day,Hour,Minute,AudioName,ScoresMeanOn200,AudioUrl,UniqueNames
fs1,186,conc avg feat all (zscore),137,1,2020,3,23,18,0,20200323_180000.WAV,0.76042,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
fs1,186,conc avg feat all (zscore),50,1,2020,3,9,6,0,20200309_060000.WAV,0.61562,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200309_060000.WAV,yat1_20200309_060000
fs1,186,conc avg feat all (zscore),59,1,2020,3,10,18,0,20200310_180000.WAV,0.61319,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200310_180000.WAV,yat1_20200310_180000
fs1,186,conc avg feat all (zscore),16,1,2020,3,3,14,0,20200303_140000.WAV,0.60891,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200303_140000.WAV,yat1_20200303_140000
fs1,186,conc avg feat all (zscore),96,1,2020,3,16,22,0,20200316_220000.WAV,0.59529,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200316_220000.WAV,yat1_20200316_220000
fs1,186,conc avg feat all (zscore),22,1,2020,3,4,14,0,20200304_140000.WAV,0.59395,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200304_140000.WAV,yat1_20200304_140000
fs1,186,conc avg feat all (zscore),41,1,2020,3,7,18,0,20200307_180000.WAV,0.5929,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200307_180000.WAV,yat1_20200307_180000
fs1,186,conc avg feat all (zscore),49,1,2020,3,9,2,0,20200309_020000.WAV,0.57832,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200309_020000.WAV,yat1_20200309_020000
fs1,186,conc avg feat all (zscore),154,1,2020,3,26,14,0,20200326_140000.WAV,0.57169,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200326_140000.WAV,yat1_20200326_140000
fs1,186,conc avg feat all (zscore),162,1,2020,3,27,22,0,20200327_220000.WAV,0.56711,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200327_220000.WAV,yat1_20200327_220000
fs1,186,conc avg feat all (zscore),166,1,2020,3,28,14,0,20200328_140000.WAV,0.56649,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200328_140000.WAV,yat1_20200328_140000
fs1,186,conc avg feat all (zscore),142,1,2020,3,24,14,0,20200324_140000.WAV,0.55688,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200324_140000.WAV,yat1_20200324_140000
fs1,186,conc avg feat all (zscore),48,1,2020,3,8,22,0,20200308_220000.WAV,0.54983,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200308_220000.WAV,yat1_20200308_220000
