uniqueName,yat,year,month,day,hours,minutes,seconds,vehicle,birds,crickets,river_waterfall,rain,thunder,noise,unknown
yat1_20200301_020000,1,2020,3,1,2,0,0,0,1,1,1,0,0,0,0
yat1_20200301_060000,1,2020,3,1,6,0,0,0,1,0,1,0,1,0,0
yat1_20200301_100000,1,2020,3,1,10,0,0,1,1,0,1,0,0,0,0
yat1_20200301_140000,1,2020,3,1,14,0,0,1,1,0,1,0,1,0,1
yat1_20200301_180000,1,2020,3,1,18,0,0,0,1,1,1,0,1,0,0
yat1_20200301_220000,1,2020,3,1,22,0,0,1,0,0,0,1,0,0,1
yat1_20200302_020000,1,2020,3,2,2,0,0,0,1,0,1,0,1,0,0
yat1_20200302_060000,1,2020,3,2,6,0,0,0,1,1,1,0,0,0,0
yat1_20200302_100000,1,2020,3,2,10,0,0,0,1,0,1,0,1,0,0
yat1_20200302_140000,1,2020,3,2,14,0,0,0,0,0,1,0,1,0,0
yat1_20200302_180000,1,2020,3,2,18,0,0,0,1,1,1,0,1,1,0
yat1_20200302_220000,1,2020,3,2,22,0,0,0,1,1,1,0,0,0,0
yat1_20200303_020000,1,2020,3,3,2,0,0,1,1,1,1,0,0,0,1
yat1_20200303_060000,1,2020,3,3,6,0,0,0,1,1,1,0,1,0,0
yat1_20200303_100000,1,2020,3,3,10,0,0,0,1,0,1,0,0,0,0
yat1_20200303_140000,1,2020,3,3,14,0,0,0,0,0,0,1,1,0,0
yat1_20200303_180000,1,2020,3,3,18,0,0,0,1,1,1,1,0,0,0
yat1_20200303_220000,1,2020,3,3,22,0,0,0,0,0,1,1,0,0,0
yat1_20200304_020000,1,2020,3,4,2,0,0,1,0,1,1,0,0,0,0
yat1_20200304_060000,1,2020,3,4,6,0,0,1,1,1,1,0,0,0,0
yat1_20200304_100000,1,2020,3,4,10,0,0,1,1,0,1,1,0,0,0
yat1_20200304_140000,1,2020,3,4,14,0,0,0,0,0,1,1,1,0,0
yat1_20200304_180000,1,2020,3,4,18,0,0,0,1,0,1,0,0,0,0
yat1_20200304_220000,1,2020,3,4,22,0,0,1,1,1,1,0,0,0,0
yat1_20200305_020000,1,2020,3,5,2,0,0,1,1,1,1,0,0,0,0
yat1_20200305_060000,1,2020,3,5,6,0,0,0,1,1,1,0,0,0,0
yat1_20200305_100000,1,2020,3,5,10,0,0,1,1,1,1,0,1,0,0
yat1_20200305_140000,1,2020,3,5,14,0,0,1,1,1,1,1,1,0,0
yat1_20200305_180000,1,2020,3,5,18,0,0,1,1,1,1,0,0,0,0
yat1_20200305_220000,1,2020,3,5,22,0,0,0,0,1,1,0,0,0,0
yat1_20200306_020000,1,2020,3,6,2,0,0,1,0,0,1,0,1,0,0
yat1_20200306_060000,1,2020,3,6,6,0,0,0,1,1,1,0,1,0,0
yat1_20200306_100000,1,2020,3,6,10,0,0,1,1,1,1,0,0,0,0
yat1_20200306_140000,1,2020,3,6,14,0,0,1,1,0,1,0,0,0,0
yat1_20200306_180000,1,2020,3,6,18,0,0,0,1,1,1,0,1,0,1
yat1_20200306_220000,1,2020,3,6,22,0,0,1,1,1,1,0,0,0,0
yat1_20200307_020000,1,2020,3,7,2,0,0,1,1,0,1,0,0,0,0
yat1_20200307_060000,1,2020,3,7,6,0,0,1,1,0,1,0,1,0,0
yat1_20200307_100000,1,2020,3,7,10,0,0,0,1,0,1,0,1,0,0
yat1_20200307_140000,1,2020,3,7,14,0,0,1,1,1,1,0,0,0,0
yat1_20200307_180000,1,2020,3,7,18,0,0,1,1,0,1,0,0,1,0
yat1_20200307_220000,1,2020,3,7,22,0,0,0,1,0,1,0,0,0,0
yat1_20200308_020000,1,2020,3,8,2,0,0,1,1,1,1,0,0,0,0
yat1_20200308_060000,1,2020,3,8,6,0,0,1,1,1,1,0,0,0,0
yat1_20200308_100000,1,2020,3,8,10,0,0,1,1,0,1,0,0,0,0
yat1_20200308_140000,1,2020,3,8,14,0,0,1,0,1,1,0,0,0,0
yat1_20200308_180000,1,2020,3,8,18,0,0,1,1,0,1,0,0,0,0
yat1_20200308_220000,1,2020,3,8,22,0,0,1,1,0,1,1,1,0,0
yat1_20200309_020000,1,2020,3,9,2,0,0,1,1,0,1,0,0,0,0
yat1_20200309_060000,1,2020,3,9,6,0,0,1,1,0,1,0,0,0,0
yat1_20200309_100000,1,2020,3,9,10,0,0,1,1,0,1,0,0,0,0
yat1_20200309_140000,1,2020,3,9,14,0,0,1,1,0,1,0,0,0,0
yat1_20200309_180000,1,2020,3,9,18,0,0,1,1,1,1,0,0,0,0
yat1_20200309_220000,1,2020,3,9,22,0,0,1,1,1,1,0,0,0,0
yat1_20200310_020000,1,2020,3,10,2,0,0,1,1,0,0,1,1,0,0
yat1_20200310_060000,1,2020,3,10,6,0,0,0,1,1,1,1,0,0,0
yat1_20200310_100000,1,2020,3,10,10,0,0,1,1,0,1,0,0,0,0
yat1_20200310_140000,1,2020,3,10,14,0,0,0,1,0,1,0,0,1,0
yat1_20200310_180000,1,2020,3,10,18,0,0,0,0,0,0,1,1,0,0
yat1_20200310_220000,1,2020,3,10,22,0,0,0,0,0,0,1,1,0,0
yat1_20200311_020000,1,2020,3,11,2,0,0,1,1,1,1,0,0,0,0
yat1_20200311_060000,1,2020,3,11,6,0,0,0,1,0,1,0,0,0,0
yat1_20200311_100000,1,2020,3,11,10,0,0,1,0,0,0,0,1,0,0
yat1_20200311_140000,1,2020,3,11,14,0,0,0,0,0,1,1,1,0,0
yat1_20200311_180000,1,2020,3,11,18,0,0,1,1,0,1,0,0,0,0
yat1_20200311_220000,1,2020,3,11,22,0,0,0,1,0,1,0,0,0,0
yat1_20200312_020000,1,2020,3,12,2,0,0,1,1,0,1,1,0,0,0
yat1_20200312_060000,1,2020,3,12,6,0,0,1,1,0,1,0,0,0,0
yat1_20200312_100000,1,2020,3,12,10,0,0,1,1,0,1,0,0,0,0
yat1_20200312_140000,1,2020,3,12,14,0,0,1,1,0,1,1,0,0,0
yat1_20200312_180000,1,2020,3,12,18,0,0,0,1,0,1,1,0,0,0
yat1_20200312_220000,1,2020,3,12,22,0,0,1,1,0,1,0,0,0,0
yat1_20200313_020000,1,2020,3,13,2,0,0,0,1,1,1,1,0,0,0
yat1_20200313_060000,1,2020,3,13,6,0,0,0,1,0,1,1,1,0,0
yat1_20200313_100000,1,2020,3,13,10,0,0,1,1,0,0,1,1,0,1
yat1_20200313_140000,1,2020,3,13,14,0,0,1,0,0,1,1,1,0,0
yat1_20200313_180000,1,2020,3,13,18,0,0,1,1,0,1,1,1,0,0
yat1_20200313_220000,1,2020,3,13,22,0,0,1,1,0,1,1,1,0,0
yat1_20200314_020000,1,2020,3,14,2,0,0,1,1,0,1,1,1,0,0
yat1_20200314_060000,1,2020,3,14,6,0,0,1,1,0,1,1,1,0,0
yat1_20200314_100000,1,2020,3,14,10,0,0,0,1,0,1,1,1,0,1
yat1_20200314_140000,1,2020,3,14,14,0,0,0,1,0,1,1,1,0,0
yat1_20200314_180000,1,2020,3,14,18,0,0,1,1,0,1,1,1,0,1
yat1_20200314_220000,1,2020,3,14,22,0,0,0,0,0,1,1,1,0,0
yat1_20200315_020000,1,2020,3,15,2,0,0,0,1,0,1,1,1,0,0
yat1_20200315_060000,1,2020,3,15,6,0,0,1,1,0,1,1,1,0,0
yat1_20200315_100000,1,2020,3,15,10,0,0,1,1,1,1,1,0,0,0
yat1_20200315_140000,1,2020,3,15,14,0,0,0,0,0,1,1,1,0,0
yat1_20200315_180000,1,2020,3,15,18,0,0,0,0,0,0,1,1,0,0
yat1_20200315_220000,1,2020,3,15,22,0,0,0,1,0,1,1,0,0,0
yat1_20200316_020000,1,2020,3,16,2,0,0,0,1,0,1,1,0,0,0
yat1_20200316_060000,1,2020,3,16,6,0,0,1,0,0,1,1,0,0,1
yat1_20200316_100000,1,2020,3,16,10,0,0,1,1,0,1,0,1,0,0
yat1_20200316_140000,1,2020,3,16,14,0,0,0,1,0,1,0,1,0,1
yat1_20200316_180000,1,2020,3,16,18,0,0,0,1,0,1,1,0,0,0
yat1_20200316_220000,1,2020,3,16,22,0,0,0,1,0,1,1,0,0,0
yat1_20200317_020000,1,2020,3,17,2,0,0,1,1,0,1,1,0,0,0
yat1_20200317_060000,1,2020,3,17,6,0,0,1,1,0,1,0,0,0,0
yat1_20200317_100000,1,2020,3,17,10,0,0,1,0,0,1,1,1,0,0
yat1_20200317_140000,1,2020,3,17,14,0,0,1,1,0,1,1,0,0,0
yat1_20200317_180000,1,2020,3,17,18,0,0,0,1,0,1,1,0,0,0
yat1_20200317_220000,1,2020,3,17,22,0,0,0,1,1,1,0,0,0,0
yat1_20200318_020000,1,2020,3,18,2,0,0,1,1,0,1,0,0,0,0
yat1_20200318_060000,1,2020,3,18,6,0,0,1,1,0,1,0,0,0,0
yat1_20200318_100000,1,2020,3,18,10,0,0,1,1,0,1,0,0,0,0
yat1_20200318_140000,1,2020,3,18,14,0,0,1,1,0,1,0,0,0,0
yat1_20200318_180000,1,2020,3,18,18,0,0,0,1,0,1,0,0,0,0
yat1_20200318_220000,1,2020,3,18,22,0,0,0,1,0,1,0,0,0,0
yat1_20200319_020000,1,2020,3,19,2,0,0,0,1,0,1,0,0,0,0
yat1_20200319_060000,1,2020,3,19,6,0,0,0,1,0,1,0,0,0,1
yat1_20200319_100000,1,2020,3,19,10,0,0,0,1,0,1,0,0,0,0
yat1_20200319_140000,1,2020,3,19,14,0,0,0,1,0,1,0,1,0,0
yat1_20200319_180000,1,2020,3,19,18,0,0,0,1,0,1,0,0,0,0
yat1_20200319_220000,1,2020,3,19,22,0,0,0,1,0,1,0,0,0,0
yat1_20200320_020000,1,2020,3,20,2,0,0,0,1,0,1,0,0,0,0
yat1_20200320_060000,1,2020,3,20,6,0,0,0,0,0,1,1,1,0,0
yat1_20200320_100000,1,2020,3,20,10,0,0,0,0,0,1,1,1,0,0
yat1_20200320_140000,1,2020,3,20,14,0,0,0,0,0,1,1,1,0,0
yat1_20200320_180000,1,2020,3,20,18,0,0,0,0,0,1,1,1,0,0
yat1_20200320_220000,1,2020,3,20,22,0,0,1,1,1,1,0,0,0,0
yat1_20200321_020000,1,2020,3,21,2,0,0,1,1,1,1,0,0,0,0
yat1_20200321_060000,1,2020,3,21,6,0,0,0,1,0,1,1,0,0,0
yat1_20200321_100000,1,2020,3,21,10,0,0,0,0,0,0,1,1,0,0
yat1_20200321_140000,1,2020,3,21,14,0,0,0,1,1,0,1,1,0,0
yat1_20200321_180000,1,2020,3,21,18,0,0,0,1,1,1,0,0,0,0
yat1_20200321_220000,1,2020,3,21,22,0,0,1,1,0,1,0,0,0,0
yat1_20200322_020000,1,2020,3,22,2,0,0,0,1,0,1,0,0,0,0
yat1_20200322_060000,1,2020,3,22,6,0,0,0,1,1,1,0,0,0,0
yat1_20200322_100000,1,2020,3,22,10,0,0,0,1,0,1,0,1,0,0
yat1_20200322_140000,1,2020,3,22,14,0,0,1,1,0,1,1,1,0,0
yat1_20200322_180000,1,2020,3,22,18,0,0,0,1,1,1,0,0,0,0
yat1_20200322_220000,1,2020,3,22,22,0,0,0,1,1,1,0,0,0,0
yat1_20200323_020000,1,2020,3,23,2,0,0,0,1,1,1,0,0,0,0
yat1_20200323_060000,1,2020,3,23,6,0,0,1,1,0,1,0,0,0,0
yat1_20200323_100000,1,2020,3,23,10,0,0,1,1,0,1,0,0,0,0
yat1_20200323_140000,1,2020,3,23,14,0,0,0,0,0,1,1,1,0,0
yat1_20200323_180000,1,2020,3,23,18,0,0,1,1,0,1,1,0,0,0
yat1_20200323_220000,1,2020,3,23,22,0,0,0,0,1,1,0,0,0,0
yat1_20200324_020000,1,2020,3,24,2,0,0,0,1,0,1,0,0,0,0
yat1_20200324_060000,1,2020,3,24,6,0,0,0,1,0,1,0,0,0,0
yat1_20200324_100000,1,2020,3,24,10,0,0,0,1,0,1,0,0,0,0
yat1_20200324_140000,1,2020,3,24,14,0,0,0,0,0,1,1,1,0,0
yat1_20200324_180000,1,2020,3,24,18,0,0,0,0,0,0,1,1,0,0
yat1_20200324_220000,1,2020,3,24,22,0,0,0,0,1,1,0,0,0,0
yat1_20200325_020000,1,2020,3,25,2,0,0,1,0,1,1,0,0,0,0
yat1_20200325_060000,1,2020,3,25,6,0,0,1,1,1,1,1,1,0,0
yat1_20200325_100000,1,2020,3,25,10,0,0,0,1,1,1,0,0,0,0
yat1_20200325_140000,1,2020,3,25,14,0,0,0,0,0,1,1,1,0,0
yat1_20200325_180000,1,2020,3,25,18,0,0,0,1,1,1,0,0,0,0
yat1_20200325_220000,1,2020,3,25,22,0,0,0,1,1,1,0,0,0,0
yat1_20200326_020000,1,2020,3,26,2,0,0,0,1,1,1,0,0,0,0
yat1_20200326_060000,1,2020,3,26,6,0,0,0,1,0,1,1,0,0,0
yat1_20200326_100000,1,2020,3,26,10,0,0,0,1,0,1,1,0,0,0
yat1_20200326_140000,1,2020,3,26,14,0,0,1,1,0,1,1,1,0,0
yat1_20200326_180000,1,2020,3,26,18,0,0,0,1,1,1,0,0,0,0
yat1_20200326_220000,1,2020,3,26,22,0,0,0,1,1,1,0,0,0,0
yat1_20200327_020000,1,2020,3,27,2,0,0,0,1,0,1,0,0,0,0
yat1_20200327_060000,1,2020,3,27,6,0,0,1,1,0,1,0,1,0,0
yat1_20200327_100000,1,2020,3,27,10,0,0,0,1,0,1,0,0,0,0
yat1_20200327_140000,1,2020,3,27,14,0,0,1,1,0,1,0,0,0,0
yat1_20200327_180000,1,2020,3,27,18,0,0,0,1,0,1,0,0,1,0
yat1_20200327_220000,1,2020,3,27,22,0,0,0,1,1,1,0,0,0,0
yat1_20200328_020000,1,2020,3,28,2,0,0,0,1,0,1,0,0,0,0
yat1_20200328_060000,1,2020,3,28,6,0,0,1,1,0,1,0,0,0,0
yat1_20200328_100000,1,2020,3,28,10,0,0,0,1,0,1,1,1,0,0
yat1_20200328_140000,1,2020,3,28,14,0,0,0,0,0,1,1,1,0,0
yat1_20200328_180000,1,2020,3,28,18,0,0,1,0,0,1,0,0,1,0
yat1_20200328_220000,1,2020,3,28,22,0,0,0,1,1,1,0,0,0,0
yat1_20200329_020000,1,2020,3,29,2,0,0,1,1,1,1,0,0,0,0
yat1_20200329_060000,1,2020,3,29,6,0,0,0,1,1,1,0,0,0,0
yat1_20200329_100000,1,2020,3,29,10,0,0,0,1,1,1,0,0,0,0
yat1_20200329_140000,1,2020,3,29,14,0,0,0,1,0,1,1,1,0,0
yat1_20200329_180000,1,2020,3,29,18,0,0,0,1,1,0,1,0,0,0
yat1_20200329_220000,1,2020,3,29,22,0,0,0,0,1,1,0,0,0,0
yat1_20200330_020000,1,2020,3,30,2,0,0,1,1,1,1,0,0,0,0
yat1_20200330_060000,1,2020,3,30,6,0,0,0,1,1,1,0,0,0,0
yat1_20200330_100000,1,2020,3,30,10,0,0,0,1,0,1,1,1,0,0
yat1_20200330_140000,1,2020,3,30,14,0,0,0,1,0,1,1,1,0,0
yat1_20200330_180000,1,2020,3,30,18,0,0,0,1,0,1,1,1,0,0
yat1_20200330_220000,1,2020,3,30,22,0,0,0,1,0,1,1,1,0,0
yat1_20200331_020000,1,2020,3,31,2,0,0,0,1,1,1,0,0,0,0
yat1_20200331_060000,1,2020,3,31,6,0,0,0,0,0,1,1,0,0,0
yat1_20200331_100000,1,2020,3,31,10,0,0,1,1,0,1,0,0,0,0
yat1_20200331_140000,1,2020,3,31,14,0,0,1,1,0,1,0,0,0,0
yat1_20200331_180000,1,2020,3,31,18,0,0,0,1,0,1,0,0,1,0
yat1_20200331_220000,1,2020,3,31,22,0,0,0,1,0,0,1,0,0,0

