RESULT_TYPE,NO_FILTER,FILTER_1,FILTER_2,FILTER_3,FILTER_4,FILTER_5,FILTER_6,FILTER_7,FILTER_8,FILTER_9,FILTER_10,FILTER_11,FILTER_12,FILTER_13,FILTER_14,FILTER_15,FILTER_16,FILTER_17,FILTER_18,FILTER_19,FILTER_20,FILTER_21,FILTER_22,FILTER_23,FILTER_24
UPPER,0.00000,5.00000,10.00000,15.00000,0.00000,5.00000,10.00000,15.00000,0.00000,5.00000,10,15,0,5,10,15,20,30,40,20,30,40,20,30,40
LOWER,0.00000,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,10.00000,10.00000,10,10,15,15,15,15,20,20,20,30,30,30,40,40,40
CONC.ORIG,0.26980,0.26980,0.26800,0.26800,0.26980,0.26980,0.26800,0.26800,0.26980,0.26980,0.268,0.268,0.2698,0.2698,0.268,0.268,0.26799,0.26619,0.26799,0.26799,0.26439,0.26799,0.26799,0.26439,0.26799
CONC.SPE.,0.26980,0.26980,0.26800,0.26800,0.26980,0.26980,0.26800,0.26800,0.26980,0.26980,0.268,0.268,0.2698,0.2698,0.268,0.268,0.26799,0.26619,0.26799,0.26799,0.26439,0.26799,0.26799,0.26439,0.26799
CONC.TON.,0.29680,0.60970,0.60970,0.60970,0.60790,0.60790,0.60970,0.60970,0.60790,0.60790,0.6079,0.6097,0.6097,0.6097,0.6079,0.6079,0.61331,0.60072,0.60432,0.61151,0.60072,0.60432,0.61331,0.60072,0.60252
CONC.TEM.,0.23740,0.23740,0.23740,0.23740,0.23740,0.23740,0.23740,0.23740,0.23740,0.23740,0.2374,0.2374,0.2374,0.2374,0.2374,0.2374,0.23741,0.23741,0.23741,0.23741,0.23741,0.23741,0.23741,0.23741,0.23741
CONC.MED.ORIG,0.23740,0.23920,0.24100,0.23740,0.23740,0.23920,0.24100,0.23920,0.23920,0.23920,0.241,0.2392,0.2392,0.2392,0.241,0.2392,0.23921,0.24101,0.23381,0.23921,0.24101,0.23201,0.23741,0.24101,0.23201
CONC.MED.SPE.,0.23740,0.23920,0.24100,0.23740,0.23740,0.23920,0.24100,0.23920,0.23920,0.23920,0.241,0.2392,0.2392,0.2392,0.241,0.2392,0.23921,0.24101,0.23381,0.23921,0.24101,0.23201,0.23741,0.24101,0.23201
CONC.MED.TON.,0.31650,0.51800,0.51620,0.50540,0.51980,0.51980,0.51980,0.50540,0.51980,0.52160,0.5198,0.5072,0.5198,0.5198,0.5198,0.5072,0.50719,0.5036,0.5018,0.5054,0.50899,0.5036,0.51259,0.51619,0.5036
CONC.MED.TEM.,0.21220,0.21220,0.21220,0.21220,0.21220,0.21220,0.21220,0.21220,0.21220,0.21220,0.2122,0.2122,0.2122,0.2122,0.2122,0.2122,0.21223,0.21223,0.21223,0.21223,0.21223,0.21223,0.21223,0.21223,0.21223
