RESULT_TYPE,NO_FILTER,FILTER_1,FILTER_2,FILTER_3,FILTER_4,FILTER_5,FILTER_6,FILTER_7,FILTER_8,FILTER_9,FILTER_10,FILTER_11,FILTER_12,FILTER_13,FILTER_14,FILTER_15,FILTER_16,FILTER_17,FILTER_18,FILTER_19,FILTER_20,FILTER_21,FILTER_22,FILTER_23,FILTER_24
UPPER,0,0,0,0,5,5,5,5,10,10,10,10,15,15,15,15,20,20,20,30,30,30,40,40,40
LOWER,0,5,10,15,0,5,10,15,0,5,10,15,0,5,10,15,20,30,40,20,30,40,20,30,40
conc feat all,0.26079,0.26079,0.26259,0.26439,0.26079,0.26079,0.26079,0.26259,0.26079,0.26079,0.26079,0.26259,0.26079,0.26079,0.26079,0.26079,0.26259,0.26259,0.26259,0.25899,0.26079,0.26079,0.26439,0.26439,0.26439
conc feat spectral,0.26079,0.26079,0.26259,0.26439,0.26079,0.26079,0.26079,0.26259,0.26079,0.26079,0.26079,0.26259,0.26079,0.26079,0.26079,0.26079,0.26259,0.26259,0.26259,0.25899,0.26079,0.26079,0.26439,0.26439,0.26439
conc feat tonaless,0.27878,0.53957,0.53957,0.53957,0.53957,0.53957,0.53957,0.53957,0.53957,0.53957,0.53957,0.53957,0.53957,0.53957,0.53957,0.53957,0.53777,0.53777,0.53777,0.53957,0.53957,0.53957,0.53957,0.53957,0.53957
conc feat time,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201,0.23201
conc avg feat all,0.24281,0.24281,0.24281,0.24281,0.24281,0.24281,0.24460,0.24460,0.24460,0.24281,0.24460,0.24460,0.24460,0.24640,0.24640,0.24640,0.24640,0.24640,0.24820,0.24640,0.24820,0.24820,0.24640,0.24640,0.24640
conc avg feat spectral,0.24281,0.24281,0.24281,0.24281,0.24281,0.24281,0.24460,0.24460,0.24460,0.24281,0.24460,0.24460,0.24460,0.24640,0.24640,0.24640,0.24640,0.24640,0.24820,0.24640,0.24820,0.24820,0.24640,0.24640,0.24640
conc avg feat tonaless,0.32014,0.51439,0.51259,0.51439,0.51439,0.51439,0.51079,0.51439,0.51259,0.51259,0.51079,0.51619,0.51259,0.51079,0.51439,0.51799,0.52338,0.52518,0.52698,0.52698,0.53058,0.53237,0.52698,0.52518,0.52518
conc avg feat time,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863,0.20863
