YAT_NORMAL,YAT_STD,DAY_NIGHT_NORMAL,DAY_NIGHT_STD,SUNRISE_SUNSET_NORMAL,SUNRISE_SUNSET_STD,SUNRISE_SUNSET_DAY_NIGHT_NORMAL,SUNRISE_SUNSET_DAY_NIGHT_STD,MONTH_NORMAL,MONTH_STD,HALF_MONTH_NORMAL,HALF_MONTH_STD
0.17140,0.02830,0.26924,0.20431,0.34909,0.30536,0.50480,0.41414,0.36466,0.24406,0.36610,0.30260
0.17140,0.14370,0.26924,0.24760,0.34909,0.33782,0.50480,0.47465,0.36466,0.32523,0.36610,0.36068
0.22860,0.20070,0.38984,0.37504,0.36610,0.36897,0.58244,0.57195,0.42286,0.36179,0.41248,0.38266
0.16730,0.16120,0.31121,0.30558,0.33517,0.33076,0.50491,0.49807,0.28614,0.27896,0.31264,0.30834
0.11490,0.00970,0.22871,0.14688,0.30966,0.25146,0.44053,0.32501,0.33076,0.18520,0.34081,0.24053
0.11490,0.06890,0.22871,0.22054,0.30966,0.29321,0.44053,0.41215,0.33076,0.28150,0.34081,0.32501
0.23370,0.19280,0.33650,0.28879,0.34644,0.32623,0.54401,0.49133,0.37460,0.33263,0.39757,0.35362
0.13110,0.13180,0.26737,0.26361,0.29939,0.30083,0.45334,0.45433,0.25919,0.25732,0.27896,0.27521
0.31250,0.31290,0.35859,0.35980,0.35351,0.35384,0.56588,0.56676,0.45080,0.44892,0.42728,0.42639
0.33320,0.33190,0.35682,0.35362,0.35273,0.34942,0.55837,0.55329,0.43059,0.42893,0.40331,0.40144
0.27320,0.27310,0.33076,0.33142,0.35318,0.35318,0.54942,0.55064,0.42131,0.42330,0.40585,0.40298
0.46890,0.50190,0.46107,0.47002,0.40784,0.40596,0.67443,0.68095,0.48923,0.50536,0.47719,0.49210
0.53530,0.53530,0.41149,0.41115,0.35969,0.36057,0.59625,0.59647,0.54622,0.54600,0.50779,0.50845
0.49070,0.49060,0.49420,0.49586,0.39260,0.39117,0.68040,0.68084,0.47896,0.48029,0.47024,0.47189
0.26640,0.26560,0.40618,0.40475,0.34489,0.34544,0.58465,0.58266,0.42275,0.42120,0.40210,0.40077
0.48550,0.48350,0.35306,0.35284,0.33054,0.32910,0.55196,0.55086,0.49453,0.49442,0.48747,0.48724
0.29770,0.29780,0.40121,0.40188,0.37228,0.37471,0.60066,0.60155,0.47918,0.48216,0.48482,0.48261
0.54380,0.54400,0.42838,0.42893,0.36709,0.36830,0.62551,0.62684,0.45489,0.45467,0.44616,0.44561
0.56450,0.56470,0.46615,0.46692,0.40254,0.40188,0.66781,0.66770,0.37559,0.37592,0.37559,0.37537
