YAT_NORMAL,YAT_STD,DAY_NIGHT_NORMAL,DAY_NIGHT_STD,SUNRISE_SUNSET_NORMAL,SUNRISE_SUNSET_STD,SUNRISE_SUNSET_DAY_NIGHT_NORMAL,SUNRISE_SUNSET_DAY_NIGHT_STD,MONTH_NORMAL,MONTH_STD,HALF_MONTH_NORMAL,HALF_MONTH_STD
0.15560,0.02385,0.24561,0.19779,0.33959,0.28901,0.48161,0.39293,0.36146,0.23954,0.35605,0.29729
0.15560,0.11784,0.24561,0.23203,0.33959,0.32744,0.48161,0.45367,0.36146,0.30790,0.35605,0.34622
0.22220,0.18653,0.37592,0.33628,0.36201,0.36190,0.57239,0.54644,0.41535,0.34633,0.40685,0.38299
0.15583,0.15572,0.29332,0.28901,0.32523,0.32535,0.48592,0.48095,0.28018,0.27443,0.30447,0.30326
0.11872,0.00917,0.23114,0.14688,0.31541,0.25069,0.44351,0.32203,0.32225,0.18332,0.34003,0.23722
0.11872,0.06450,0.23114,0.21645,0.31541,0.28868,0.44351,0.40497,0.32225,0.27609,0.34003,0.31927
0.23479,0.20000,0.34776,0.30900,0.35119,0.33871,0.55483,0.51253,0.37261,0.33142,0.39249,0.36808
0.13683,0.13661,0.27355,0.26957,0.29851,0.30215,0.45599,0.45699,0.26096,0.25964,0.27642,0.27598
0.30326,0.30337,0.30569,0.30580,0.35991,0.36046,0.53528,0.53539,0.42938,0.43081,0.41745,0.41756
0.44572,0.44528,0.47786,0.47697,0.37460,0.37648,0.65964,0.65919,0.47587,0.47642,0.45555,0.45389
0.43048,0.46571,0.43666,0.44241,0.39680,0.39613,0.65897,0.66195,0.47454,0.48294,0.47753,0.47432
0.24174,0.24141,0.38332,0.38443,0.35450,0.35395,0.57294,0.57195,0.40729,0.40762,0.39956,0.40044
0.52126,0.52093,0.39260,0.39205,0.37604,0.37592,0.59768,0.59801,0.53252,0.53319,0.50061,0.50050
0.27951,0.28073,0.30381,0.30127,0.35340,0.35472,0.53341,0.53252,0.41535,0.41458,0.39923,0.40298
0.32844,0.32744,0.31872,0.31960,0.35306,0.35218,0.54169,0.54036,0.42264,0.42374,0.40519,0.40276
0.48437,0.48227,0.36035,0.36057,0.31309,0.31176,0.55251,0.55229,0.48978,0.49023,0.49398,0.49332
0.29597,0.29575,0.37946,0.37957,0.37173,0.37228,0.59183,0.59150,0.47267,0.47101,0.47797,0.47940
0.52479,0.52391,0.41944,0.41900,0.36256,0.36212,0.62209,0.62142,0.44252,0.44318,0.43545,0.43600
0.51198,0.51187,0.45964,0.46041,0.39194,0.39128,0.65566,0.65599,0.37151,0.37129,0.38089,0.38089

