CheckType,Vehicle,Vehicle STD,Crickets,Crickets STD,Rain,Rain STD,Thunder,Thunder STD,VehicleRain,VehicleRain STD,VehicleCrickets,VehicleCrickets STD,CricketsThunder,CricketsThunder STD,CricketsRain,CricketsRain STD,SubsetVehicleCricketsRain,SubsetVehicleCricketsRain STD,SubsetVehicleCricketsThunder,SubsetVehicleCricketsThunder STD
conc feat all,0.39,0.39,0.45,0.35,0.39,0.32,0.40,0.35,0.35,0.30,0.42,0.31,0.38,0.32,0.35,0.22,0.46,0.39,0.54,0.46
conc feat spectral,0.39,0.38,0.45,0.35,0.39,0.27,0.40,0.32,0.35,0.28,0.42,0.33,0.38,0.30,0.35,0.25,0.46,0.45,0.54,0.49
conc feat tonaless,0.37,0.38,0.40,0.42,0.38,0.38,0.41,0.37,0.35,0.36,0.43,0.34,0.42,0.36,0.40,0.35,0.55,0.50,0.55,0.51
conc feat time,0.42,0.44,0.45,0.43,0.41,0.41,0.37,0.39,0.47,0.40,0.34,0.36,0.39,0.36,0.39,0.39,0.58,0.57,0.54,0.55
conc avg feat all,0.38,0.44,0.41,0.34,0.32,0.27,0.32,0.30,0.36,0.33,0.34,0.35,0.27,0.29,0.35,0.27,0.48,0.44,0.50,0.45
conc avg feat spectral,0.38,0.40,0.41,0.35,0.32,0.24,0.32,0.27,0.36,0.27,0.34,0.34,0.27,0.25,0.35,0.29,0.48,0.49,0.50,0.49
conc avg feat tonaless,0.45,0.40,0.35,0.34,0.42,0.33,0.37,0.30,0.42,0.41,0.36,0.32,0.26,0.25,0.33,0.28,0.56,0.50,0.48,0.38
conc avg feat time,0.38,0.38,0.46,0.47,0.38,0.37,0.30,0.31,0.39,0.36,0.33,0.33,0.30,0.34,0.40,0.40,0.54,0.52,0.49,0.47
feat SpectralCentroid,0.51,0.50,0.43,0.44,0.47,0.47,0.45,0.44,0.48,0.49,0.41,0.41,0.44,0.46,0.42,0.42,0.55,0.55,0.54,0.55
feat SpectralCrestFactor,0.46,0.45,0.42,0.46,0.48,0.50,0.46,0.44,0.46,0.45,0.44,0.44,0.43,0.45,0.42,0.44,0.66,0.64,0.67,0.68
feat SpectralDecrease,0.45,0.46,0.39,0.39,0.51,0.51,0.48,0.51,0.54,0.54,0.53,0.54,0.42,0.42,0.47,0.48,0.69,0.70,0.67,0.66
feat SpectralFlatness,0.43,0.41,0.43,0.42,0.40,0.41,0.42,0.41,0.36,0.35,0.40,0.38,0.42,0.41,0.41,0.41,0.60,0.59,0.55,0.55
feat SpectralFlux,0.41,0.42,0.44,0.45,0.45,0.46,0.46,0.46,0.51,0.52,0.48,0.48,0.45,0.46,0.47,0.47,0.57,0.58,0.59,0.61
feat SpectralRolloff,0.42,0.45,0.42,0.41,0.48,0.48,0.49,0.47,0.41,0.41,0.42,0.42,0.46,0.44,0.42,0.40,0.57,0.55,0.62,0.61
feat SpectralSpread,0.48,0.48,0.42,0.42,0.51,0.49,0.46,0.47,0.54,0.49,0.38,0.40,0.50,0.51,0.52,0.51,0.58,0.57,0.59,0.60
feat SpectralTonalPowerRatio,0.35,0.34,0.53,0.55,0.38,0.37,0.39,0.39,0.48,0.47,0.41,0.40,0.49,0.50,0.48,0.48,0.65,0.64,0.57,0.56
feat TimeZeroCrossingRate,0.45,0.45,0.45,0.45,0.40,0.40,0.38,0.38,0.42,0.43,0.47,0.47,0.40,0.40,0.41,0.42,0.56,0.56,0.56,0.55
feat TimeAcfCoeff,0.47,0.46,0.42,0.42,0.49,0.49,0.39,0.38,0.52,0.52,0.34,0.35,0.38,0.37,0.45,0.45,0.62,0.63,0.61,0.60
feat TimeMaxAcf,0.46,0.46,0.35,0.35,0.52,0.52,0.45,0.45,0.53,0.54,0.34,0.34,0.43,0.47,0.46,0.46,0.62,0.61,0.60,0.60
