CheckType,Vehicle,Vehicle STD,Crickets,Crickets STD,Rain,Rain STD,Thunder,Thunder STD,VehicleRain,VehicleRain STD,VehicleCrickets,VehicleCrickets STD,CricketsThunder,CricketsThunder STD,CricketsRain,CricketsRain STD,SubsetVehicleCricketsRain,SubsetVehicleCricketsRain STD,SubsetVehicleCricketsThunder,SubsetVehicleCricketsThunder STD
conc feat all,0.413978494623656,0.408602150537634,0.446236559139785,0.327956989247312,0.39247311827957,0.28494623655914,0.408602150537634,0.333333333333333,0.36,0.29,0.406593406593407,0.285714285714286,0.39622641509434,0.311320754716981,0.36283185840708,0.212389380530973,0.485714285714286,0.40952380952381,0.558823529411765,0.46078431372549
conc feat spectral,0.413978494623656,0.365591397849462,0.446236559139785,0.360215053763441,0.39247311827957,0.252688172043011,0.408602150537634,0.327956989247312,0.36,0.29,0.406593406593407,0.318681318681319,0.39622641509434,0.273584905660377,0.36283185840708,0.20353982300885,0.485714285714286,0.438095238095238,0.558823529411765,0.450980392156863
conc feat tonaless,0.370967741935484,0.349462365591398,0.403225806451613,0.408602150537634,0.387096774193548,0.381720430107527,0.365591397849462,0.311827956989247,0.37,0.37,0.373626373626374,0.340659340659341,0.377358490566038,0.30188679245283,0.398230088495575,0.345132743362832,0.542857142857143,0.504761904761905,0.519607843137255,0.519607843137255
conc feat time,0.435483870967742,0.419354838709677,0.462365591397849,0.451612903225806,0.413978494623656,0.424731182795699,0.39247311827957,0.376344086021505,0.5,0.41,0.340659340659341,0.351648351648352,0.415094339622642,0.377358490566038,0.424778761061947,0.398230088495575,0.60952380952381,0.6,0.568627450980392,0.558823529411765
conc avg feat all,0.370967741935484,0.451612903225806,0.381720430107527,0.370967741935484,0.338709677419355,0.279569892473118,0.306451612903226,0.306451612903226,0.36,0.31,0.307692307692308,0.351648351648352,0.273584905660377,0.30188679245283,0.31858407079646,0.300884955752212,0.457142857142857,0.39047619047619,0.509803921568627,0.46078431372549
conc avg feat spectral,0.370967741935484,0.387096774193548,0.381720430107527,0.381720430107527,0.338709677419355,0.252688172043011,0.306451612903226,0.290322580645161,0.36,0.27,0.307692307692308,0.340659340659341,0.273584905660377,0.216981132075472,0.31858407079646,0.256637168141593,0.457142857142857,0.476190476190476,0.509803921568627,0.46078431372549
conc avg feat tonaless,0.39247311827957,0.381720430107527,0.354838709677419,0.344086021505376,0.381720430107527,0.365591397849462,0.376344086021505,0.301075268817204,0.38,0.38,0.373626373626374,0.263736263736264,0.311320754716981,0.292452830188679,0.292035398230089,0.309734513274336,0.485714285714286,0.428571428571429,0.470588235294118,0.411764705882353
conc avg feat time,0.370967741935484,0.365591397849462,0.467741935483871,0.483870967741935,0.387096774193548,0.39247311827957,0.290322580645161,0.327956989247312,0.39,0.34,0.32967032967033,0.32967032967033,0.320754716981132,0.358490566037736,0.407079646017699,0.407079646017699,0.542857142857143,0.514285714285714,0.480392156862745,0.470588235294118
feat SpectralCentroid,0.532258064516129,0.526881720430108,0.440860215053763,0.446236559139785,0.462365591397849,0.462365591397849,0.478494623655914,0.473118279569892,0.52,0.52,0.406593406593407,0.417582417582418,0.424528301886792,0.424528301886792,0.415929203539823,0.415929203539823,0.561904761904762,0.571428571428571,0.53921568627451,0.53921568627451
feat SpectralCrestFactor,0.467741935483871,0.473118279569892,0.467741935483871,0.456989247311828,0.424731182795699,0.408602150537634,0.413978494623656,0.419354838709677,0.48,0.5,0.483516483516484,0.472527472527473,0.415094339622642,0.433962264150943,0.407079646017699,0.415929203539823,0.628571428571429,0.666666666666667,0.637254901960784,0.666666666666667
feat SpectralDecrease,0.489247311827957,0.467741935483871,0.376344086021505,0.387096774193548,0.39247311827957,0.419354838709677,0.440860215053763,0.419354838709677,0.52,0.54,0.494505494505495,0.516483516483517,0.358490566037736,0.330188679245283,0.398230088495575,0.398230088495575,0.647619047619048,0.657142857142857,0.676470588235294,0.617647058823529
feat SpectralFlatness,0.440860215053763,0.43010752688172,0.408602150537634,0.403225806451613,0.397849462365591,0.39247311827957,0.381720430107527,0.39247311827957,0.36,0.37,0.362637362637363,0.373626373626374,0.339622641509434,0.330188679245283,0.353982300884956,0.353982300884956,0.552380952380952,0.552380952380952,0.519607843137255,0.529411764705882
feat SpectralFlux,0.489247311827957,0.473118279569892,0.467741935483871,0.462365591397849,0.467741935483871,0.478494623655914,0.473118279569892,0.483870967741935,0.51,0.5,0.549450549450549,0.549450549450549,0.433962264150943,0.433962264150943,0.495575221238938,0.495575221238938,0.695238095238095,0.685714285714286,0.705882352941177,0.705882352941177
feat SpectralRolloff,0.39247311827957,0.403225806451613,0.413978494623656,0.381720430107527,0.478494623655914,0.489247311827957,0.478494623655914,0.489247311827957,0.37,0.37,0.417582417582418,0.395604395604396,0.462264150943396,0.443396226415094,0.424778761061947,0.415929203539823,0.542857142857143,0.533333333333333,0.57843137254902,0.568627450980392
feat SpectralSpread,0.424731182795699,0.435483870967742,0.397849462365591,0.39247311827957,0.446236559139785,0.435483870967742,0.403225806451613,0.413978494623656,0.51,0.49,0.395604395604396,0.406593406593407,0.452830188679245,0.452830188679245,0.469026548672566,0.460176991150442,0.59047619047619,0.59047619047619,0.568627450980392,0.568627450980392
feat SpectralTonalPowerRatio,0.365591397849462,0.333333333333333,0.553763440860215,0.575268817204301,0.349462365591398,0.333333333333333,0.338709677419355,0.344086021505376,0.49,0.5,0.461538461538462,0.472527472527473,0.415094339622642,0.452830188679245,0.424778761061947,0.442477876106195,0.647619047619048,0.657142857142857,0.588235294117647,0.598039215686274
feat TimeZeroCrossingRate,0.489247311827957,0.5,0.467741935483871,0.473118279569892,0.419354838709677,0.413978494623656,0.381720430107527,0.365591397849462,0.39,0.38,0.483516483516484,0.494505494505495,0.386792452830189,0.377358490566038,0.424778761061947,0.424778761061947,0.523809523809524,0.552380952380952,0.53921568627451,0.53921568627451
feat TimeAcfCoeff,0.467741935483871,0.467741935483871,0.419354838709677,0.424731182795699,0.5,0.489247311827957,0.403225806451613,0.403225806451613,0.56,0.56,0.32967032967033,0.32967032967033,0.367924528301887,0.386792452830189,0.451327433628319,0.460176991150442,0.628571428571429,0.6,0.607843137254902,0.607843137254902
feat TimeMaxAcf,0.456989247311828,0.440860215053763,0.365591397849462,0.370967741935484,0.510752688172043,0.489247311827957,0.413978494623656,0.419354838709677,0.52,0.5,0.340659340659341,0.32967032967033,0.424528301886792,0.433962264150943,0.424778761061947,0.407079646017699,0.60952380952381,0.59047619047619,0.598039215686274,0.627450980392157
